"","tag","upstream1","upstream2","upstream_diff"
"1","1005",55.8676989349922,55.8676989349922,0
"2","1011",55.5333066756495,55.4333066756494,-0.100000000000101
"3","1023",54.8730496453685,54.9277477594449,0.0546981140763521
"4","1027",54.7230830274358,54.7230830274358,0
"5","1030",54.6432306576045,53.6285787233408,-1.01465193426375
"6","1032",54.6432306576045,54.6432306576045,0
"7","1035",54.4553067272921,54.6432306576045,0.187923930312436
"8","1048",54.078038738927,53.9684057996531,-0.109632939273951
"9","1058",53.6285787233408,53.568713573911,-0.0598651494298252
"10","1078",52.8041257459079,52.8041257459079,0
"11","113",27.7761703032278,27.8761703032277,0.0999999999998984
"12","115",27.7761703032278,27.8761703032277,0.0999999999998984
"13","117",27.7761703032278,26.7225673301857,-1.05360297304204
"14","1186",65.3037834911529,65.3237109858465,0.0199274946935759
"15","1187",65.3037834911529,65.3237109858465,0.0199274946935759
"16","1191",64.9495985411341,64.8495985411341,-0.0999999999999801
"17","1193",64.8495985411341,64.8495985411341,0
"18","120",21.6967041418388,21.6563710982157,-0.0403330436230682
"19","1230",70.5862691462508,70.5278327671579,-0.0584363790928535
"20","1235",70.0050221420145,71.4643537649869,1.45933162297243
"21","1236",70.0050221420145,69.9452287807232,-0.0597933612913266
"22","1237",69.9452287807232,69.7135267288111,-0.231702051912052
"23","1238",69.9452287807232,69.8623183401127,-0.0829104406104761
"24","1246",66.5431518252681,67.7982483214751,1.25509649620699
"25","1249",66.2000148575895,66.1660232441018,-0.0339916134877427
"26","1260",67.9616985725654,67.9972487099289,0.0355501373634866
"27","1264",67.8156642638097,67.7982483214751,-0.0174159423345515
"28","1266",67.7563655155341,67.7168741905591,-0.0394913249749465
"29","1270",67.6205829046698,67.5091343672801,-0.111448537389634
"30","128",21.2522392145296,21.3498348565544,0.0975956420247712
"31","1287",67.0464568619446,67.0464568619446,0
"32","1289",67.0464568619446,67.0464568619446,0
"33","1290",67.0464568619446,67.0464568619446,0
"34","1301",60.4204655105523,60.4204655105523,0
"35","1303",60.2401319385544,60.2401319385544,0
"36","1305",60.2401319385544,60.2401319385544,0
"37","1308",60.2093968742758,60.2093968742758,0
"38","1309",60.2093968742758,60.2093968742758,0
"39","1310",60.1212354657086,60.2093968742758,0.0881614085672808
"40","1312",60.0927575999031,60.0927575999031,0
"41","1314",60.0458116612315,60.0927575999031,0.0469459386715982
"42","1319",59.8838505854168,59.9066096552105,0.0227590697936577
"43","1322",59.8240411053781,59.6848130766631,-0.139228028714967
"44","1327",59.6299044239324,59.6299044239324,0
"45","1328",59.6299044239324,59.6299044239324,0
"46","1330",59.6299044239324,59.6299044239324,0
"47","1332",59.4732320708242,59.4732320708242,0
"48","1334",59.4732320708242,59.4732320708242,0
"49","1335",59.2639930133973,59.3281047300898,0.0641117166925369
"50","1344",58.8148334794743,58.8148334794743,0
"51","1349",58.5283961972505,58.5283961972505,0
"52","135",21.1462408509212,21.3498348565544,0.203594005633175
"53","1351",58.4508692638695,58.3967677656404,-0.0541014982290804
"54","1356",58.3387814710095,58.2327816246596,-0.105999846349889
"55","1357",58.2327816246596,58.2327816246596,0
"56","1358",58.2327816246596,69.7135267288111,11.4807451041515
"57","1369",49.3703734014631,49.3703734014631,0
"58","1375",49.1289593382348,49.1289593382348,0
"59","1378",48.7763859220952,57.5081629117508,8.73177698965562
"60","1383",48.3029000684573,48.3029000684573,0
"61","1404",81.3873325657557,77.6203100643479,-3.76702250140781
"62","1416",77.6645462447093,77.6645462447093,0
"63","1431",62.5820653286997,62.7452782206451,0.163212891945356
"64","1434",62.5820653286997,62.4628393587026,-0.119225969997174
"65","1437",62.5820653286997,62.4021655997274,-0.179899728972337
"66","1441",62.4931008114653,62.2396297168219,-0.253471094643423
"67","1446",61.5427541724439,62.0122519042477,0.469497731803855
"68","1452",61.7537673868203,61.7305556930927,-0.0232116937275464
"69","1454",61.7537673868203,61.6827143593179,-0.0710530275023373
"70","1464",61.7305556930927,61.5427541724439,-0.187801520648833
"71","1465",61.7305556930927,61.1008514756564,-0.629704217436284
"72","1470",60.9434666805436,61.3547015214785,0.411234840934888
"73","1471",60.9434666805436,61.3547015214785,0.411234840934888
"74","1473",60.9434666805436,61.3547015214785,0.411234840934888
"75","1474",60.9434666805436,61.3547015214785,0.411234840934888
"76","1479",61.3640912263504,61.2551246605975,-0.108966565752823
"77","1482",61.3640912263504,61.2255737703237,-0.138517456026648
"78","159",15.1463775631382,15.4408831382641,0.294505575125976
"79","168",14.9075349507259,14.9075349507259,0
"80","170",14.9075349507259,8.89509375124103,-6.01244119948486
"81","176",14.9075349507259,14.7098064997872,-0.19772845093873
"82","179",14.2263460526407,14.2263460526407,0
"83","182",14.2263460526407,14.2263460526407,0
"84","188",14.2263460526407,14.2263460526407,0
"85","211",4.31402080002988,4.31402080002988,0
"86","214",4.31402080002988,4.2140208000299,-0.0999999999999819
"87","218",4.31402080002988,9.67402162577867,5.36000082574879
"88","225",2.35212321755975,2.35212321755975,0
"89","231",1.70595887573541,1.89732800573897,0.191369130003553
"90","232",1.70595887573541,1.14148916338997,-0.564469712345446
"91","233",1.70595887573541,19.5734378821165,17.8674790063811
"92","241",0.545029964119551,0.645029964119576,0.100000000000026
"93","266",20.5026469858289,20.5825397074729,0.079892721643958
"94","275",15.5408831382641,16.7618781351591,1.22099499689503
"95","287",39.34815744701,36.5571108762963,-2.79104657071368
"96","288",38.7912074507574,38.3712634181003,-0.419944032657135
"97","291",36.7211239123289,36.5947842768832,-0.12633963544571
"98","300",32.5885146868245,34.8030378216322,2.21452313480766
"99","304",32.5885146868245,32.5885146868245,0
"100","320",30.5790587565808,30.5790587565808,0
"101","33",37.8974091596859,34.2942098621696,-3.60319929751637
"102","343",24.9934717025702,25.0934717025702,0.100000000000044
"103","350",23.2563512987946,24.0076640724027,0.75131277360811
"104","358",4.2140208000299,4.2140208000299,0
"105","361",2.42219571911463,2.35212321755975,-0.0700725015548871
"106","512",42.3138931253455,42.1541036953155,-0.159789430029946
"107","515",42.3138931253455,42.863154463207,0.549261337861559
"108","534",38.4069923987522,38.5670635910194,0.160071192267274
"109","578",30.7482126276155,30.7482126276155,0
"110","589",30.4430220467933,30.4430220467933,0
"111","618",20.1946945635384,20.5026469858289,0.307952422290498
"112","626",19.1608027105889,5.65154489231699,-13.5092578182719
"113","627",19.1608027105889,19.5734378821165,0.412635171527615
"114","64",29.8109238348233,29.7109238348233,-0.0999999999999837
"115","751",73.2018927917694,67.9972487099289,-5.2046440818405
"116","755",64.3761287336152,64.3429603909334,-0.033168342681833
"117","756",64.3761287336152,64.3429603909334,-0.033168342681833
"118","766",64.0516071762869,63.985189724206,-0.0664174520809482
"119","768",63.8555653951721,63.8555653951721,0
"120","769",63.6860499787672,63.6024371926,-0.0836127861672153
"121","772",63.6024371926,63.2366447381233,-0.365792454476711
"122","774",63.4829046013149,63.4829046013149,0
"123","795",57.3409052303416,57.3180296928061,-0.0228755375354908
"124","799",57.3409052303416,62.2396297168219,4.89872448648031
"125","800",57.3409052303416,57.3180296928061,-0.0228755375354908
"126","804",57.0370634423546,65.3237109858465,8.28664754349185
"127","818",56.9188277670269,56.7102658496555,-0.208561917371334
"128","824",56.7102658496555,56.7102658496555,0
"129","829",56.5412258585396,56.3967213731514,-0.144504485388204
"130","836",56.0685910799077,54.9277477594449,-1.14084332046286
"131","842",55.9685910799077,55.9279331535986,-0.0406579263091729
"132","846",51.6744437046173,51.6744437046173,0
"133","847",51.6744437046173,51.6744437046173,0
"134","858",49.9028441285009,50.002844128501,0.100000000000044
"135","97",28.5578326883017,28.6491117526036,0.0912790643018297
